,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
0,310,1,10,110,210,400,0,1024,500,64,0,0,34649,2,3,0
1,320,1,10,110,210,400,0,1024,500,64,0,0,38999,3,65,5
2,320,1,10,110,210,400,0,1024,500,64,0,0,39999,3,8,1
3,310,1,20,110,220,400,512,0,500,32,0,0,69990,3,0,0
4,310,1,30,120,210,400,0,512,500,64,0,0,26990,3,0,0
5,310,1,30,120,210,400,0,512,500,64,0,0,22990,3,0,0
6,310,1,30,120,210,400,0,512,500,32,0,0,21990,3,31,3
7,310,1,20,110,220,400,0,1024,500,32,0,0,58799,3,0,0
8,320,1,20,110,210,400,0,1024,500,32,0,0,49999,3,0,0
9,330,2,40,110,210,400,0,512,500,32,0,0,59990,4,1946,240
10,330,2,40,110,210,400,0,512,500,32,0,0,93700,4,259,47
11,330,2,40,110,210,400,0,512,500,32,0,0,72990,4,425,67
12,340,1,30,120,210,400,0,512,500,64,0,0,17490,3,1120,196
14,310,1,10,130,210,400,256,0,500,64,0,0,35990,3,0,0
15,350,1,10,130,220,400,256,0,500,64,1,0,56490,3,0,0
16,350,1,20,130,220,400,256,0,500,64,1,0,65390,3,0,0
17,320,1,30,120,210,400,256,0,500,64,0,0,31999,4,286,19
18,350,1,30,120,220,400,256,0,500,64,0,0,32490,4,58,6
19,320,1,30,120,210,400,256,0,500,64,0,0,31799,3,0,0
20,310,1,30,120,210,400,256,0,500,64,0,0,29890,4,7,0
21,310,1,30,120,210,400,0,1024,500,64,1,0,23990,3,15279,1947
22,350,1,10,140,210,400,0,1024,500,64,0,0,32955,4,311,27
23,350,1,20,140,210,400,0,1024,500,32,0,0,46200,4,47,7
24,310,1,10,130,210,400,256,0,500,64,0,0,34429,4,37,6
25,320,1,10,110,220,400,256,0,500,32,2,1,37990,4,2080,235
26,310,1,10,130,210,400,256,0,500,32,1,1,35990,4,1479,181
27,310,1,10,110,220,400,256,0,500,64,0,0,33980,4,67,3
28,350,1,10,130,220,400,256,0,500,64,1,1,39990,4,273,30
29,360,1,10,110,220,400,256,0,500,64,1,1,39490,4,1267,171
30,350,1,10,130,220,400,256,0,500,64,1,1,53990,4,14,0
31,330,1,10,130,220,400,256,0,500,64,1,0,38990,3,0,0
32,310,1,10,130,220,400,256,0,500,64,1,0,37990,4,284,39
33,310,1,10,130,220,400,256,0,500,64,1,1,37890,4,44,5
34,320,1,10,130,220,400,256,0,500,64,1,0,38990,4,33,4
35,320,1,10,110,220,400,256,0,500,64,0,0,37990,4,286,36
36,360,1,10,130,220,400,256,0,500,64,1,1,41990,3,10,5
37,310,1,10,130,220,400,256,0,500,64,1,0,45990,4,816,147
38,320,1,10,130,220,400,256,0,500,64,1,0,39990,4,543,65
39,360,1,10,130,220,400,256,0,500,64,0,0,42490,4,9,1
40,360,1,10,110,210,400,256,0,500,64,1,1,36990,4,1178,137
41,320,1,10,130,220,400,256,0,500,64,1,1,53990,4,299,41
42,310,1,10,130,220,400,256,0,500,64,0,0,36990,4,20,1
43,320,1,10,110,210,400,256,0,500,64,2,0,38940,4,758,64
44,360,1,10,110,210,400,256,0,500,64,1,1,39490,4,634,64
46,320,1,10,110,220,400,256,0,500,64,2,1,39999,5,4,0
47,360,1,10,130,220,400,256,0,500,64,1,0,42990,4,17,2
48,360,1,10,130,220,400,256,0,500,64,1,0,49990,4,24,5
49,360,1,10,130,220,400,256,0,500,64,1,1,41490,4,1753,165
50,360,1,10,130,220,400,256,0,500,64,0,0,41990,4,216,21
51,320,1,10,130,220,400,256,0,500,64,1,1,41990,4,1084,160
52,310,1,10,130,220,400,256,0,500,64,1,0,38490,3,19,3
53,320,1,10,130,210,400,256,0,500,64,1,1,38990,4,106,13
54,320,1,10,130,210,400,256,0,500,64,1,1,44990,4,42,4
55,320,1,10,110,210,400,256,0,500,64,0,0,36490,3,0,0
56,320,1,10,110,220,400,256,0,500,32,0,0,38970,3,0,0
57,350,1,10,130,210,400,256,0,500,64,1,1,44900,4,1029,107
58,370,1,10,110,210,400,256,0,500,64,0,0,38990,4,53,11
59,360,1,10,130,210,400,256,0,500,64,0,0,44427,3,0,0
60,310,1,10,110,210,400,256,0,500,64,1,0,35990,3,0,0
61,320,1,10,110,210,400,256,0,500,64,1,1,40200,3,48,1
62,320,1,10,110,210,400,256,0,500,32,0,0,40990,3,3,0
63,360,1,10,110,210,400,256,0,500,64,1,0,42490,3,0,0
64,330,1,30,120,210,400,0,512,500,32,0,0,23990,3,61,4
65,360,1,10,130,210,400,256,0,500,64,0,0,71999,4,97,13
66,310,1,10,130,210,400,256,0,500,64,1,0,39990,4,181,19
67,320,1,10,110,210,400,256,0,500,64,1,1,41998,4,529,39
68,310,1,10,130,210,400,256,0,500,32,0,0,41990,3,0,0
69,320,1,10,110,210,400,256,0,500,64,2,1,39999,3,0,0
70,310,1,10,110,210,400,256,0,500,32,0,0,39990,3,0,0
71,320,1,10,130,210,400,256,0,500,64,0,0,39998,4,10,1
72,350,1,10,130,210,400,256,0,500,64,1,1,42490,4,5205,561
73,320,1,10,110,210,400,256,0,500,32,0,0,41990,3,3,0
74,310,1,10,130,210,400,256,0,500,32,0,0,48490,3,0,0
75,350,1,10,130,210,400,256,0,500,64,1,1,44376,4,1090,96
76,360,1,10,130,210,400,256,0,500,32,0,0,43900,3,0,0
77,360,1,10,130,210,400,256,0,500,64,1,0,46690,3,0,0
78,320,1,10,110,210,400,256,0,500,32,0,0,40990,5,1,1
79,360,1,10,110,210,400,256,0,500,64,1,0,39990,4,44,2
80,320,1,10,130,210,400,256,0,500,64,0,0,43990,3,0,0
81,310,1,10,130,210,400,256,0,500,64,1,0,36990,4,70,9
82,360,1,10,130,220,400,256,0,500,64,1,0,48500,3,0,0
83,310,1,10,130,220,400,256,0,500,64,0,0,48990,3,0,0
84,310,1,30,120,210,410,0,512,500,32,0,0,23490,4,632,92
85,350,1,10,150,210,400,256,0,500,64,1,1,54238,4,71,8
86,310,1,10,110,220,400,512,0,500,64,1,0,37990,4,990,108
87,350,1,10,130,220,400,512,0,500,64,1,1,42990,4,158,18
88,350,1,10,130,220,400,512,0,500,64,1,1,42990,4,681,59
89,310,1,10,110,210,400,512,0,500,64,1,0,35990,4,130,12
90,310,1,10,130,220,400,512,0,500,64,1,0,42990,4,30,4
91,310,1,10,130,220,420,512,0,500,32,1,1,51990,4,6,2
92,310,1,10,130,220,400,512,0,500,64,1,0,48990,4,174,30
93,310,1,10,130,220,400,512,0,500,64,1,0,42990,4,40,7
94,320,1,10,110,220,400,512,0,500,64,1,0,38990,3,13,1
95,360,1,10,130,220,400,512,0,500,64,0,0,45990,4,184,29
